2023-03-02 15:09:50.234665,down,336,243
2023-03-02 15:09:51.944406,left,271,214
2023-03-02 15:09:52.810853,right,298,217
2023-03-02 15:09:53.142544,right,299,209
2023-03-02 15:09:53.343561,left,295,207
2023-03-02 15:09:54.411820,down,299,203
2023-03-02 15:09:54.877594,left,282,204
2023-03-02 15:09:55.546001,right,292,204
2023-03-02 15:09:56.080037,right,291,203
2023-03-02 15:09:56.347232,left,279,203
2023-03-02 15:09:57.014899,right,288,204
2023-03-02 15:09:57.546165,right,290,207
2023-03-02 15:09:57.814206,left,280,206
2023-03-02 15:09:58.479294,right,288,206
2023-03-02 15:09:58.747504,right,286,206
2023-03-02 15:09:58.881220,right,280,202
2023-03-02 15:09:59.079420,down,266,202
2023-03-02 15:09:59.346941,down,237,206
2023-03-02 15:10:00.481807,down,282,173
2023-03-02 15:10:01.348529,up,288,171
2023-03-02 15:10:02.016521,down,292,165
2023-03-02 15:10:02.883977,left,289,166
2023-03-02 15:10:03.550171,right,296,169
2023-03-02 15:10:04.085999,left,286,170
2023-03-02 15:10:04.618199,right,283,170
2023-03-02 15:10:05.152017,left,274,166
2023-03-02 15:10:06.087589,right,283,169
2023-03-02 15:10:06.419687,left,271,169
2023-03-02 15:10:06.752246,right,273,169
2023-03-02 15:10:07.155565,left,268,167
2023-03-02 15:10:07.486420,right,273,168
2023-03-02 15:10:07.957821,left,262,169
2023-03-02 15:10:08.219863,right,266,171
2023-03-02 15:10:08.754834,left,274,171
2023-03-02 15:10:09.154591,right,319,174
2023-03-02 15:10:09.686590,left,315,159
2023-03-02 15:10:10.157013,right,302,154
2023-03-02 15:10:10.556007,left,271,161
2023-03-02 15:10:10.888595,right,272,166
2023-03-02 15:10:11.423316,left,272,164
2023-03-02 15:10:11.823991,right,272,163
2023-03-02 15:10:12.361636,left,283,162
2023-03-02 15:10:12.758337,right,293,158
2023-03-02 15:10:13.425035,left,273,149
2023-03-02 15:10:13.824553,up,279,147
2023-03-02 15:10:14.363457,down,297,156
2023-03-02 15:10:14.765154,up,297,156
2023-03-02 15:10:15.159283,down,294,156
2023-03-02 15:10:15.562442,up,294,152
2023-03-02 15:10:15.958092,down,286,149
2023-03-02 15:10:16.695514,up,288,138
2023-03-02 15:10:17.161316,down,290,145
2023-03-02 15:10:17.559518,down,318,151
2023-03-02 15:10:23.533558,up,370,179
2023-03-02 15:10:43.645032,up,261,165
2023-03-02 15:10:44.176929,down,259,177
2023-03-02 15:10:44.577798,up,260,174
2023-03-02 15:10:44.975809,down,257,168
2023-03-02 15:10:45.310751,up,253,171
2023-03-02 15:10:45.712331,down,253,175
2023-03-02 15:10:49.649252,up,286,167
2023-03-02 15:10:49.980795,down,285,165
2023-03-02 15:10:50.382376,up,284,160
2023-03-02 15:11:28.540054,left,260,183
2023-03-02 15:11:28.671030,left,258,184
2023-03-02 15:11:28.873527,up,252,184
2023-03-02 15:11:30.139551,down,247,213
2023-03-02 15:11:30.541071,up,248,214
2023-03-02 15:11:31.005489,down,243,216
2023-03-02 15:11:31.408572,up,237,220
2023-03-02 15:11:32.009138,up,237,222
2023-03-02 15:11:32.877124,down,244,223
2023-03-02 15:11:33.476405,down,250,225
2023-03-02 15:11:33.878605,up,250,231
2023-03-02 15:11:34.545792,up,216,212
2023-03-02 15:11:35.345275,up,216,211
2023-03-02 15:11:36.613280,up,230,222
2023-03-02 15:11:37.147115,down,235,218
2023-03-02 15:11:48.889609,left,224,210
2023-03-02 15:11:49.488623,left,221,202
2023-03-02 15:11:49.687965,left,222,207
2023-03-02 15:11:50.356358,left,230,217
2023-03-02 15:11:51.790731,left,239,211
2023-03-02 15:11:51.923536,left,235,204
2023-03-02 15:11:53.059280,left,228,217
2023-03-02 15:11:55.057831,left,232,220
2023-03-02 15:11:55.527349,left,231,218
2023-03-02 15:11:56.258770,left,230,215
2023-03-02 15:11:57.058124,left,232,218
2023-03-02 15:11:57.994530,left,233,213
2023-03-02 15:11:59.460995,left,234,208
2023-03-02 15:12:00.794371,left,219,183
2023-03-02 15:12:01.062255,left,212,181
2023-03-02 15:12:01.199212,left,208,181
2023-03-02 15:12:10.337224,down,140,220
2023-03-02 15:12:10.602900,down,134,218
2023-03-02 15:12:10.802083,down,133,221
2023-03-02 15:12:10.935387,down,133,223
2023-03-02 15:12:11.137591,down,133,222
2023-03-02 15:12:12.338531,left,140,230
2023-03-02 15:12:14.406255,left,178,249
2023-03-02 15:12:16.007957,left,173,246
2023-03-02 15:12:18.607701,left,170,246
2023-03-02 15:12:18.742979,left,170,246
2023-03-02 15:12:20.877457,left,171,248
2023-03-02 15:12:21.543244,left,170,247
2023-03-02 15:12:21.942019,left,172,244
2023-03-02 15:12:22.809121,left,179,251
2023-03-02 15:12:23.276734,left,174,250
2023-03-02 15:12:24.210053,left,173,245
2023-03-02 15:12:24.945184,left,243,227
2023-03-02 15:12:26.407946,left,281,180
2023-03-02 15:12:27.054019,left,606,251
